year,ssa,hcfa,initial_x,initial_P,MLE_x,MLE_P
1949,2633.0,nan,2582,67,2541,178
1950,2747.0,nan,2726,66,2711,185
1951,2868.0,nan,2874,65,2864,186
1952,3042.0,nan,3055,65,3045,186
1953,3278.0,nan,3275,65,3269,186
1954,3574.0,nan,3521,65,3519,186
1955,3689.0,nan,3753,65,3736,186
1956,4067.0,nan,4075,65,4063,186
1957,4419.0,nan,4443,65,4433,186
1958,4910.0,nan,4873,65,4876,186
1959,5481.0,nan,5312,65,5331,186
1960,5684.0,nan,5647,65,5644,186
1961,5895.0,nan,6001,65,5972,186
1962,6498.0,nan,6504,65,6477,186
1963,6891.0,nan,7073,65,7032,185
1964,8065.0,nan,7871,64,7866,179
1965,8745.0,8474.0,8566,54,8521,110
1966,9156.0,9175.0,9261,53,9198,108
1967,10287.0,10142.0,10212,53,10160,108
1968,11099.0,11104.0,11250,53,11159,108
1969,12629.0,12648.0,12661,53,12645,108
1970,14306.0,14340.0,14228,53,14289,108
1971,15835.0,15918.0,15752,53,15835,108
1972,16916.0,17162.0,17194,53,17171,108
1973,18200.0,19278.0,19073,54,19106,109
1974,nan,21568.0,21733,64,21675,119
1975,nan,25181.0,24741,68,25027,120
1976,nan,27931.0,27573,80,27932,129
